fonte,step,epoch,batch,input_std,target_std,pred_std,pred_target_ratio
por_batch,1,1,1,0.0118,0.0112,1.589,142.329
por_batch,200,1,200,0.0075,0.0066,0.0188,2.829
por_batch,400,1,400,0.0329,0.0338,0.0224,0.664
por_batch,600,1,600,0.0058,0.0056,0.0035,0.634
por_batch,800,1,800,0.0044,0.0038,0.0015,0.394
por_batch,1000,1,1000,0.055,0.0532,0.006,0.114
por_batch,1200,1,1200,0.0369,0.0366,0.0033,0.091
por_batch,1400,1,1400,0.0124,0.0123,0.0022,0.179
por_batch,1600,1,1600,0.0046,0.0065,0.0014,0.211
por_batch,1800,1,1800,0.0193,0.0186,0.0046,0.245
por_batch,2000,1,2000,0.0047,0.0038,0.0041,1.073
por_batch,2200,1,2200,0.0004,0.0004,0.0006,1.589
por_batch,2400,1,2400,0.059,0.0594,0.0043,0.072
por_batch,2600,1,2600,0.0407,0.043,0.0082,0.19
por_batch,2800,1,2800,0.0566,0.0553,0.0042,0.076
por_batch,3000,1,3000,0.0612,0.0418,0.0027,0.065
por_batch,3200,1,3200,0.0658,0.0655,0.0079,0.121
por_batch,3400,1,3400,0.0,0.0,0.0,0.0
por_batch,3600,1,3600,0.0014,0.0017,0.0001,0.045
por_batch,3800,1,3800,0.0018,0.0017,0.0019,1.123
por_batch,4000,1,4000,0.0,0.0,0.0,0.0
por_batch,4200,1,4200,0.0,0.0,0.0,0.0
por_batch,4400,1,4400,0.0849,0.092,0.0039,0.042
por_batch,4600,1,4600,0.0043,0.0047,0.0023,0.487
por_batch,4800,1,4800,0.0,0.0,0.0,0.0
por_batch,5000,1,5000,0.0074,0.008,0.0035,0.432
por_batch,5200,1,5200,0.1316,0.1096,0.0049,0.044
por_batch,5400,1,5400,0.0,0.0,0.0,0.0
por_batch,5600,1,5600,0.0207,0.0216,0.0097,0.45
por_batch,5800,1,5800,0.0263,0.0296,0.0033,0.113
por_batch,6000,1,6000,0.0492,0.0526,0.0053,0.101
por_batch,6200,1,6200,0.0073,0.0072,0.0027,0.372
por_batch,6400,1,6400,0.0001,0.0001,0.0001,1.036
por_batch,6600,1,6600,0.0013,0.0013,0.0001,0.102
por_batch,6800,1,6800,0.0616,0.0552,0.006,0.108
por_batch,7000,1,7000,0.0598,0.0616,0.0045,0.073
por_batch,7200,1,7200,0.01,0.0125,0.0034,0.27
por_batch,7400,1,7400,0.0111,0.0118,0.0032,0.272
por_batch,7600,1,7600,0.007,0.0074,0.0016,0.212
por_batch,7800,1,7800,0.0631,0.0676,0.0047,0.07
por_batch,8000,1,8000,0.0001,0.0001,0.0,0.167
por_batch,8200,1,8200,0.0033,0.0033,0.0016,0.476
por_batch,8400,1,8400,0.062,0.0587,0.0049,0.083
por_batch,8600,1,8600,0.0487,0.0489,0.0044,0.089
por_batch,8800,1,8800,0.0822,0.0572,0.0031,0.054
por_batch,9000,1,9000,0.0119,0.0163,0.0018,0.11
por_batch,9200,1,9200,0.0406,0.0395,0.0037,0.093
por_batch,9400,1,9400,0.0,0.0,0.0,0.0
por_batch,9600,1,9600,0.0477,0.0532,0.0044,0.082
por_batch,9800,1,9800,0.0026,0.0025,0.0006,0.255
por_batch,10000,1,10000,0.009,0.012,0.0028,0.238
por_batch,10200,1,10200,0.0091,0.0074,0.0012,0.158
por_batch,10400,1,10400,0.003,0.003,0.0009,0.315
por_batch,10600,1,10600,0.035,0.0374,0.0034,0.092
por_batch,10800,1,10800,0.0427,0.0318,0.003,0.093
por_batch,11000,1,11000,0.0016,0.0019,0.0004,0.221
por_batch,11200,1,11200,0.0109,0.0104,0.0008,0.081
por_batch,11400,1,11400,0.0053,0.0052,0.0009,0.181
por_batch,11600,1,11600,0.0692,0.0706,0.0057,0.081
por_batch,11800,1,11800,0.0,0.0,0.0,0.0
por_batch,12000,1,12000,0.007,0.0069,0.0019,0.281
por_batch,12200,1,12200,0.0011,0.0011,0.0003,0.311
por_batch,12400,1,12400,0.0248,0.023,0.0021,0.092
por_batch,12600,1,12600,0.0,0.0,0.0,0.0
por_batch,12800,1,12800,0.0012,0.0007,0.0003,0.376
por_batch,13000,1,13000,0.0001,0.0002,0.0,0.021
por_batch,13200,1,13200,0.0733,0.0739,0.0089,0.121
por_batch,13400,1,13400,0.0075,0.0072,0.0016,0.219
por_batch,13600,1,13600,0.006,0.0056,0.0011,0.199
por_batch,13800,1,13800,0.0506,0.0533,0.0075,0.141
por_batch,14000,1,14000,0.0848,0.0827,0.0076,0.091
por_batch,14200,1,14200,0.0314,0.0292,0.0052,0.177
por_batch,14400,1,14400,0.0218,0.0217,0.0017,0.08
por_batch,14600,1,14600,0.0684,0.0737,0.0085,0.116
por_batch,14800,1,14800,0.0187,0.0152,0.0019,0.122
por_batch,15000,1,15000,0.0,0.0,0.0,0.0
por_batch,15200,1,15200,0.0581,0.0647,0.008,0.123
por_batch,15400,1,15400,0.0054,0.0049,0.0006,0.128
por_batch,15600,1,15600,0.0079,0.0097,0.0016,0.168
por_batch,15800,1,15800,0.0213,0.0231,0.004,0.173
por_batch,16000,1,16000,0.0,0.0,0.0027,266376.254
por_batch,16200,1,16200,0.0004,0.0005,0.0001,0.159
por_batch,16400,1,16400,0.0,0.0,0.0,0.0
por_batch,16600,1,16600,0.0023,0.0023,0.0015,0.648
por_batch,16800,1,16800,0.0005,0.0004,0.0002,0.47
por_batch,17000,1,17000,0.0,0.0,0.0,0.0
por_batch,17200,1,17200,0.0538,0.0576,0.0074,0.129
por_batch,17400,1,17400,0.0104,0.0083,0.0007,0.084
por_batch,17600,1,17600,0.004,0.004,0.0011,0.264
por_batch,17800,1,17800,0.0748,0.0684,0.0068,0.099
por_batch,18000,1,18000,0.008,0.0076,0.0012,0.164
por_batch,18200,1,18200,0.0033,0.0033,0.0008,0.229
por_batch,18400,1,18400,0.0017,0.0016,0.0002,0.145
por_batch,18600,1,18600,0.0296,0.0685,0.0034,0.05
por_batch,18800,1,18800,0.0186,0.0223,0.0041,0.183
por_batch,19000,1,19000,0.0272,0.0241,0.001,0.043
por_batch,19200,1,19200,0.0314,0.0323,0.0018,0.057
por_batch,19400,1,19400,0.0005,0.0006,0.0001,0.174
por_batch,19600,1,19600,0.0103,0.011,0.0015,0.136
por_batch,19800,1,19800,0.0059,0.0065,0.0019,0.295
por_batch,20000,1,20000,0.0031,0.003,0.0005,0.155
por_batch,20200,1,20200,0.0,0.0,0.0,0.0
por_batch,20400,1,20400,0.0001,0.0001,0.0,0.085
por_batch,20600,1,20600,0.0785,0.0645,0.0082,0.128
por_batch,20800,1,20800,0.0503,0.052,0.0091,0.174
por_batch,21000,1,21000,0.0001,0.0001,0.0001,0.995
por_batch,21200,1,21200,0.0,0.0,0.0,0.0
por_batch,21400,1,21400,0.0054,0.0052,0.0015,0.279
por_batch,21600,1,21600,0.0006,0.0007,0.0001,0.141
por_batch,21800,1,21800,0.0021,0.0028,0.0005,0.175
por_batch,22000,1,22000,0.0,0.0,0.0,0.0
por_batch,22200,1,22200,0.0063,0.0052,0.0006,0.121
por_batch,22400,1,22400,0.0545,0.0553,0.0112,0.203
por_batch,22600,1,22600,0.0063,0.0052,0.0008,0.148
por_batch,22800,1,22800,0.0079,0.0083,0.0012,0.145
por_batch,23000,1,23000,0.0159,0.0199,0.0026,0.13
por_batch,23200,1,23200,0.0239,0.0248,0.003,0.122
por_batch,23400,1,23400,0.0606,0.0601,0.0077,0.128
por_batch,23600,1,23600,0.0788,0.07,0.0075,0.106
por_batch,23800,1,23800,0.0073,0.0077,0.0008,0.105
por_batch,24000,1,24000,0.0859,0.0867,0.0174,0.2
por_batch,24200,1,24200,0.0113,0.0108,0.0012,0.112
por_batch,24400,1,24400,0.0059,0.0076,0.0005,0.062
por_batch,24600,1,24600,0.0,0.0,0.0,0.0
por_batch,24800,1,24800,0.0006,0.0007,0.0001,0.168
por_batch,25000,1,25000,0.0022,0.0024,0.0006,0.255
por_batch,25200,1,25200,0.0046,0.0046,0.0005,0.116
por_batch,25400,1,25400,0.0115,0.0149,0.0005,0.034
por_batch,25600,1,25600,0.0131,0.0147,0.0007,0.045
por_batch,25800,1,25800,0.0004,0.0005,0.0002,0.405
por_batch,26000,1,26000,0.0076,0.0067,0.0005,0.075
por_batch,26200,1,26200,0.021,0.0205,0.0014,0.07
por_batch,26400,1,26400,0.0918,0.0701,0.0051,0.073
por_batch,26600,1,26600,0.0022,0.0025,0.0004,0.161
por_batch,26800,1,26800,0.0058,0.0062,0.0006,0.104
por_batch,27000,1,27000,0.0013,0.0011,0.0004,0.371
por_batch,27200,1,27200,0.0078,0.009,0.0012,0.138
por_batch,27400,1,27400,0.0004,0.0003,0.0001,0.271
por_batch,27600,1,27600,0.0049,0.0042,0.001,0.244
por_batch,27800,1,27800,0.0041,0.0039,0.0023,0.575
por_batch,28000,1,28000,0.0027,0.0031,0.0004,0.127
por_batch,28200,1,28200,0.0148,0.0142,0.0018,0.125
por_batch,28400,1,28400,0.0566,0.0565,0.0067,0.119
por_batch,28600,1,28600,0.0,0.0,0.0,0.0
por_batch,28800,1,28800,0.0112,0.0105,0.002,0.191
por_batch,29000,1,29000,0.0046,0.0051,0.0009,0.179
por_batch,29200,1,29200,0.0014,0.0018,0.0002,0.092
por_batch,29400,1,29400,0.0006,0.0006,0.0002,0.367
por_batch,29600,1,29600,0.0411,0.0466,0.0074,0.159
por_batch,29800,1,29800,0.0022,0.0023,0.0005,0.219
por_batch,30000,1,30000,0.0138,0.0132,0.002,0.151
por_batch,30200,1,30200,0.0025,0.002,0.0009,0.425
por_batch,30400,1,30400,0.0069,0.0055,0.0005,0.082
por_batch,30600,1,30600,0.0015,0.0016,0.0005,0.315
por_batch,30800,1,30800,0.0025,0.0025,0.0005,0.195
por_batch,31000,1,31000,0.0045,0.0044,0.0005,0.117
por_batch,31200,1,31200,0.03,0.017,0.0015,0.089
por_batch,31400,1,31400,0.0175,0.0169,0.0008,0.048
por_batch,31600,1,31600,0.0478,0.0455,0.0138,0.303
por_batch,31800,1,31800,0.0725,0.0792,0.0096,0.121
por_batch,32000,1,32000,0.0818,0.0707,0.0883,1.249
por_batch,32200,1,32200,0.0098,0.0084,0.0012,0.141
por_batch,32400,1,32400,0.0238,0.0231,0.0036,0.155
por_batch,32600,1,32600,0.0089,0.0098,0.0009,0.095
por_batch,32800,1,32800,0.022,0.0179,0.0013,0.074
por_batch,33000,1,33000,0.0055,0.0063,0.0021,0.333
por_batch,33200,1,33200,0.0389,0.032,0.0083,0.258
por_batch,33400,1,33400,0.0,0.0,0.0,0.0
por_batch,33600,1,33600,0.0211,0.0184,0.0014,0.078
por_batch,33800,1,33800,0.0017,0.0018,0.0002,0.096
por_batch,34000,1,34000,0.0023,0.0045,0.0003,0.063
por_batch,34200,1,34200,0.0674,0.0583,0.0086,0.148
por_batch,34400,1,34400,0.0,0.0,0.0,0.0
por_batch,34600,1,34600,0.0702,0.0645,0.027,0.419
por_batch,34800,1,34800,0.0755,0.0682,0.0113,0.165
por_batch,35000,1,35000,0.0025,0.0026,0.0003,0.13
por_batch,35200,1,35200,0.0168,0.0177,0.0031,0.176
por_batch,35400,1,35400,0.0049,0.005,0.001,0.209
por_batch,35600,1,35600,0.0702,0.06,0.0187,0.311
por_batch,35800,1,35800,0.1401,0.124,0.033,0.266
por_batch,36000,1,36000,0.0033,0.0031,0.0004,0.12
por_batch,36200,1,36200,0.0032,0.0045,0.0004,0.093
por_batch,36400,1,36400,0.0052,0.0058,0.0007,0.127
por_batch,36600,1,36600,0.0014,0.0014,0.0002,0.171
por_batch,36800,1,36800,0.0177,0.0185,0.0011,0.058
por_batch,37000,1,37000,0.0055,0.0052,0.0003,0.064
por_batch,37200,1,37200,0.0763,0.0599,0.0109,0.181
por_batch,37400,1,37400,0.0014,0.0018,0.0003,0.174
por_batch,37600,1,37600,0.0086,0.0087,0.0012,0.137
por_batch,37800,1,37800,0.0054,0.0055,0.0012,0.225
por_batch,38000,1,38000,0.0065,0.0073,0.0007,0.099
por_batch,38200,1,38200,0.0,0.0,0.0,0.0
por_batch,38400,1,38400,0.092,0.1036,0.0224,0.217
por_batch,38600,1,38600,0.0026,0.0022,0.0003,0.147
por_batch,38800,1,38800,0.0039,0.0036,0.0008,0.229
por_batch,39000,1,39000,0.0105,0.0113,0.0005,0.048
por_batch,39200,1,39200,0.0055,0.005,0.001,0.208
por_batch,39400,1,39400,0.0953,0.0998,0.0302,0.303
por_batch,39600,1,39600,0.0,0.0,0.0,0.0
por_batch,39800,1,39800,0.0006,0.0007,0.0002,0.36
por_batch,40000,1,40000,0.0,0.0,0.0,0.0
por_batch,40200,1,40200,0.045,0.0391,0.013,0.331
por_batch,40400,1,40400,0.0116,0.0097,0.0012,0.125
por_batch,40600,1,40600,0.0021,0.0021,0.0003,0.159
por_batch,40800,1,40800,0.0094,0.0106,0.0004,0.041
por_batch,41000,1,41000,0.0277,0.0272,0.0034,0.125
por_batch,41200,1,41200,0.0001,0.0001,0.0001,0.614
por_batch,41400,1,41400,0.0001,0.0001,0.0001,0.474
por_batch,41600,1,41600,0.0,0.0,0.0,0.0
por_batch,41800,1,41800,0.0012,0.0011,0.0003,0.262
por_batch,42000,1,42000,0.0017,0.0013,0.0002,0.155
por_batch,42200,1,42200,0.0052,0.0057,0.0008,0.14
por_batch,42400,1,42400,0.001,0.0012,0.0004,0.296
por_batch,42600,1,42600,0.0739,0.0676,0.0194,0.286
por_batch,42800,1,42800,0.0765,0.0676,0.0083,0.122
por_batch,43000,1,43000,0.0349,0.0405,0.0047,0.117
por_batch,43200,1,43200,0.0066,0.006,0.0008,0.129
por_batch,43400,1,43400,0.0059,0.0051,0.0006,0.116
por_batch,43600,1,43600,0.0005,0.0006,0.0002,0.394
por_batch,43800,1,43800,0.0839,0.0811,0.0519,0.64
por_batch,44000,1,44000,0.0012,0.001,0.0002,0.244
por_batch,44200,1,44200,0.0,0.0,0.0001,11452.552
por_batch,44400,1,44400,0.0164,0.0197,0.0026,0.13
por_batch,44600,1,44600,0.0007,0.0006,0.0003,0.442
por_batch,44800,1,44800,0.0002,0.0001,0.0,0.33
por_batch,45000,1,45000,0.0056,0.0056,0.0008,0.144
por_batch,45200,1,45200,0.0001,0.0,0.0,0.29
por_batch,45400,1,45400,0.0077,0.0076,0.0005,0.067
por_batch,45600,1,45600,0.0012,0.0013,0.0002,0.154
por_batch,45800,1,45800,0.0012,0.0009,0.0002,0.204
por_batch,46000,1,46000,0.0176,0.017,0.0015,0.09
por_batch,46200,1,46200,0.0001,0.0,0.0,0.232
por_batch,46400,1,46400,0.0595,0.0569,0.0236,0.414
por_batch,46600,1,46600,0.0348,0.0344,0.0039,0.115
por_batch,46800,1,46800,0.0202,0.0212,0.0027,0.128
por_batch,47000,1,47000,0.0174,0.0159,0.0015,0.092
por_batch,47200,1,47200,0.0103,0.0098,0.001,0.099
por_batch,47400,1,47400,0.0127,0.0144,0.0017,0.121
por_batch,47600,1,47600,0.0232,0.0222,0.0016,0.071
por_batch,47800,1,47800,0.0095,0.0116,0.0009,0.081
por_batch,48000,1,48000,0.0032,0.0033,0.0007,0.204
por_batch,48200,1,48200,0.0007,0.0008,0.0001,0.157
por_batch,48400,1,48400,0.0155,0.0163,0.003,0.184
por_batch,48600,1,48600,0.0,0.0,0.0,0.0
por_batch,48800,1,48800,0.0,0.0,0.0,0.0
por_batch,49000,1,49000,0.0684,0.0739,0.0496,0.671
por_batch,49200,1,49200,0.0635,0.0638,0.0323,0.506
por_batch,49400,1,49400,0.0146,0.0131,0.0031,0.235
por_batch,49600,1,49600,0.0072,0.0068,0.0009,0.139
por_batch,49800,1,49800,0.0083,0.0081,0.0009,0.116
por_batch,50000,1,50000,0.0542,0.0735,0.0166,0.225
por_batch,50200,1,50200,0.0141,0.0152,0.0021,0.136
por_batch,50400,1,50400,0.0057,0.0055,0.0023,0.415
por_batch,50600,1,50600,0.0046,0.0056,0.0009,0.157
por_batch,50800,1,50800,0.0041,0.0043,0.0009,0.203
por_batch,51000,1,51000,0.0079,0.0103,0.0012,0.119
por_batch,51200,1,51200,0.0397,0.0444,0.0128,0.289
por_batch,51400,1,51400,0.0,0.0,0.0,0.0
por_batch,51600,1,51600,0.0068,0.0067,0.0008,0.126
por_batch,51800,1,51800,0.0928,0.0829,0.0435,0.524
por_batch,52000,1,52000,0.0,0.0,0.0,0.0
por_batch,52200,1,52200,0.0132,0.0163,0.002,0.123
por_batch,52400,1,52400,0.0471,0.0469,0.0164,0.35
por_batch,52600,1,52600,0.0276,0.0301,0.0056,0.185
por_batch,52800,1,52800,0.0527,0.0493,0.014,0.284
por_batch,53000,1,53000,0.0068,0.0062,0.0006,0.095
por_batch,53200,1,53200,0.1057,0.1151,0.0429,0.373
por_batch,53400,1,53400,0.0923,0.0919,0.033,0.359
por_batch,53600,1,53600,0.0029,0.0035,0.0003,0.085
por_batch,53800,1,53800,0.0497,0.0499,0.0154,0.309
por_batch,54000,1,54000,0.0207,0.025,0.0006,0.025
por_batch,54200,1,54200,0.0105,0.0126,0.0013,0.1
por_batch,54400,1,54400,0.0585,0.0616,0.035,0.568
por_batch,54600,1,54600,0.02,0.0217,0.0037,0.171
por_batch,54800,1,54800,0.0266,0.0351,0.0085,0.242
por_batch,55000,1,55000,0.0052,0.0047,0.001,0.216
por_batch,55200,1,55200,0.0042,0.0041,0.0008,0.2
por_batch,55400,1,55400,0.0045,0.0042,0.001,0.228
por_batch,55600,1,55600,0.0034,0.0038,0.0007,0.191
por_batch,55800,1,55800,0.0994,0.1095,0.0229,0.209
por_batch,56000,1,56000,0.0133,0.0136,0.0027,0.199
por_batch,56200,1,56200,0.0188,0.0186,0.0037,0.2
por_batch,56400,1,56400,0.0,0.0,0.0,0.0
por_batch,56600,1,56600,0.004,0.0036,0.0009,0.25
por_batch,56800,1,56800,0.0,0.0,0.0,0.0
por_batch,57000,1,57000,0.0097,0.0096,0.0009,0.099
por_batch,57200,1,57200,0.0083,0.0108,0.0009,0.086
por_batch,57400,1,57400,0.0007,0.0008,0.0001,0.128
por_batch,57600,1,57600,0.0005,0.0004,0.0001,0.216
por_batch,57800,1,57800,0.002,0.0017,0.0006,0.365
por_batch,58000,1,58000,0.0422,0.0398,0.0121,0.304
por_batch,58200,1,58200,0.0649,0.0632,0.0224,0.354
por_batch,58400,1,58400,0.0008,0.0009,0.0002,0.237
por_batch,58600,1,58600,0.0031,0.0038,0.0006,0.161
por_batch,58800,1,58800,0.0677,0.0549,0.0278,0.506
por_batch,59000,1,59000,0.0431,0.0436,0.0153,0.352
por_batch,59200,1,59200,0.0094,0.0087,0.0007,0.084
por_batch,59400,1,59400,0.0003,0.0002,0.0,0.163
por_batch,59600,1,59600,0.0089,0.0097,0.0007,0.077
por_batch,59800,1,59800,0.0343,0.036,0.0056,0.155
por_batch,60000,1,60000,0.0012,0.0009,0.0003,0.308
por_batch,60200,1,60200,0.0001,0.0001,0.0,0.355
por_batch,60400,1,60400,0.0079,0.0075,0.0008,0.111
por_batch,60600,1,60600,0.0365,0.0291,0.002,0.069
por_batch,60800,1,60800,0.013,0.0191,0.0012,0.063
por_batch,61000,1,61000,0.0098,0.01,0.0009,0.094
por_batch,61200,1,61200,0.004,0.0034,0.0008,0.25
por_batch,61400,1,61400,0.006,0.0061,0.0008,0.139
por_batch,61600,1,61600,0.0002,0.0003,0.0,0.11
por_batch,61800,1,61800,0.0368,0.037,0.0109,0.294
por_batch,62000,1,62000,0.0434,0.0535,0.0047,0.087
por_batch,62200,1,62200,0.0117,0.018,0.0012,0.066
por_batch,62400,1,62400,0.0089,0.0091,0.0015,0.164
por_batch,62600,1,62600,0.0609,0.0748,0.0071,0.095
por_batch,62800,1,62800,0.0942,0.0795,0.0287,0.361
