fonte,step,epoch,batch,input_std,target_std,pred_std,pred_target_ratio
por_batch,1,1,1,0.0095,0.0124,1.6792,135.196
por_batch,200,1,200,0.0077,0.0067,0.0205,3.054
por_batch,400,1,400,0.0293,0.0303,0.0163,0.538
por_batch,600,1,600,0.0057,0.0046,0.0033,0.72
por_batch,800,1,800,0.0045,0.0034,0.0017,0.488
por_batch,1000,1,1000,0.0584,0.0466,0.006,0.13
por_batch,1200,1,1200,0.0345,0.0365,0.0029,0.08
por_batch,1400,1,1400,0.0121,0.0115,0.0022,0.196
por_batch,1600,1,1600,0.0049,0.0065,0.0014,0.213
por_batch,1800,1,1800,0.0183,0.0153,0.0044,0.29
por_batch,2000,1,2000,0.0047,0.0033,0.0042,1.27
por_batch,2200,1,2200,0.0003,0.0004,0.0006,1.464
por_batch,2400,1,2400,0.0526,0.047,0.0047,0.1
por_batch,2600,1,2600,0.0375,0.0327,0.0085,0.261
por_batch,2800,1,2800,0.0491,0.0511,0.0043,0.084
por_batch,3000,1,3000,0.0622,0.0402,0.0027,0.068
por_batch,3200,1,3200,0.0657,0.0571,0.0077,0.135
por_batch,3400,1,3400,0.0,0.0,0.0,0.0
por_batch,3600,1,3600,0.0014,0.0015,0.0001,0.058
por_batch,3800,1,3800,0.0018,0.0017,0.0019,1.101
por_batch,4000,1,4000,0.0,0.0,0.0,0.0
por_batch,4200,1,4200,0.0,0.0,0.0,0.0
por_batch,4400,1,4400,0.0822,0.0849,0.0036,0.042
por_batch,4600,1,4600,0.0039,0.0036,0.0021,0.588
por_batch,4800,1,4800,0.0,0.0,0.0,0.0
por_batch,5000,1,5000,0.0074,0.0073,0.0041,0.565
por_batch,5200,1,5200,0.1288,0.1005,0.0054,0.054
por_batch,5400,1,5400,0.0,0.0,0.0,0.0
por_batch,5600,1,5600,0.0215,0.0231,0.0107,0.464
por_batch,5800,1,5800,0.0264,0.0265,0.0029,0.111
por_batch,6000,1,6000,0.0498,0.0516,0.0055,0.106
por_batch,6200,1,6200,0.0065,0.0069,0.0024,0.355
por_batch,6400,1,6400,0.0001,0.0001,0.0001,1.188
por_batch,6600,1,6600,0.0013,0.0011,0.0002,0.139
por_batch,6800,1,6800,0.0638,0.0527,0.0057,0.108
por_batch,7000,1,7000,0.0577,0.0579,0.005,0.086
por_batch,7200,1,7200,0.0094,0.0114,0.003,0.262
por_batch,7400,1,7400,0.0116,0.0114,0.0032,0.277
por_batch,7600,1,7600,0.007,0.0076,0.0018,0.233
por_batch,7800,1,7800,0.0594,0.0585,0.0055,0.094
por_batch,8000,1,8000,0.0,0.0001,0.0,0.245
por_batch,8200,1,8200,0.0031,0.0032,0.0014,0.448
por_batch,8400,1,8400,0.0601,0.0569,0.0036,0.063
por_batch,8600,1,8600,0.0446,0.0464,0.0033,0.071
por_batch,8800,1,8800,0.0823,0.0606,0.003,0.05
por_batch,9000,1,9000,0.0119,0.0141,0.0019,0.131
por_batch,9200,1,9200,0.0411,0.0416,0.0035,0.085
por_batch,9400,1,9400,0.0,0.0,0.0,0.0
por_batch,9600,1,9600,0.0431,0.0546,0.0038,0.07
por_batch,9800,1,9800,0.0028,0.0023,0.0007,0.282
por_batch,10000,1,10000,0.0103,0.011,0.0029,0.263
por_batch,10200,1,10200,0.0089,0.0074,0.0012,0.158
por_batch,10400,1,10400,0.0029,0.003,0.0009,0.315
por_batch,10600,1,10600,0.0359,0.036,0.003,0.084
por_batch,10800,1,10800,0.0414,0.0315,0.0033,0.103
por_batch,11000,1,11000,0.0016,0.0017,0.0003,0.197
por_batch,11200,1,11200,0.0087,0.01,0.0008,0.083
por_batch,11400,1,11400,0.005,0.0046,0.0009,0.199
por_batch,11600,1,11600,0.0703,0.0658,0.0057,0.087
por_batch,11800,1,11800,0.0,0.0,0.0,0.0
por_batch,12000,1,12000,0.0068,0.0071,0.002,0.285
por_batch,12200,1,12200,0.001,0.0011,0.0004,0.357
por_batch,12400,1,12400,0.0233,0.023,0.0019,0.081
por_batch,12600,1,12600,0.0,0.0,0.0,0.0
por_batch,12800,1,12800,0.0009,0.0004,0.0003,0.671
por_batch,13000,1,13000,0.0,0.0002,0.0,0.021
por_batch,13200,1,13200,0.0748,0.0596,0.0095,0.16
por_batch,13400,1,13400,0.007,0.0062,0.0015,0.234
por_batch,13600,1,13600,0.0054,0.0052,0.0011,0.209
por_batch,13800,1,13800,0.0477,0.0509,0.0076,0.149
por_batch,14000,1,14000,0.0816,0.075,0.0086,0.115
por_batch,14200,1,14200,0.0307,0.0274,0.0042,0.153
por_batch,14400,1,14400,0.0195,0.0197,0.0019,0.097
por_batch,14600,1,14600,0.0649,0.0725,0.0067,0.093
por_batch,14800,1,14800,0.0189,0.0151,0.0014,0.094
por_batch,15000,1,15000,0.0,0.0,0.0,0.0
por_batch,15200,1,15200,0.0503,0.0644,0.0078,0.121
por_batch,15400,1,15400,0.0056,0.0041,0.0006,0.146
por_batch,15600,1,15600,0.0065,0.0088,0.0016,0.182
por_batch,15800,1,15800,0.0206,0.0216,0.0031,0.143
por_batch,16000,1,16000,0.0,0.0,0.003,299587.846
por_batch,16200,1,16200,0.0005,0.0006,0.0001,0.144
por_batch,16400,1,16400,0.0,0.0,0.0,0.0
por_batch,16600,1,16600,0.0021,0.0021,0.0014,0.662
por_batch,16800,1,16800,0.0005,0.0004,0.0002,0.529
por_batch,17000,1,17000,0.0,0.0,0.0,0.0
por_batch,17200,1,17200,0.0507,0.0583,0.0087,0.148
por_batch,17400,1,17400,0.0092,0.0086,0.0007,0.08
por_batch,17600,1,17600,0.0038,0.0036,0.0011,0.311
por_batch,17800,1,17800,0.0677,0.0678,0.0058,0.086
por_batch,18000,1,18000,0.0084,0.0074,0.0013,0.18
por_batch,18200,1,18200,0.003,0.0031,0.0008,0.247
por_batch,18400,1,18400,0.0015,0.0017,0.0002,0.137
por_batch,18600,1,18600,0.0306,0.0802,0.0036,0.045
por_batch,18800,1,18800,0.017,0.0236,0.0044,0.185
por_batch,19000,1,19000,0.0312,0.0212,0.001,0.048
por_batch,19200,1,19200,0.0275,0.0286,0.0019,0.065
