fonte,step,epoch,batch,input_std,target_std,pred_std,pred_target_ratio
por_batch,1,1,1,0.0118,0.0112,1.589,142.329
por_batch,200,1,200,0.0075,0.0066,0.0188,2.829
por_batch,400,1,400,0.0329,0.0338,0.0224,0.664
por_batch,600,1,600,0.0058,0.0056,0.0035,0.634
por_batch,800,1,800,0.0044,0.0038,0.0015,0.394
por_batch,1000,1,1000,0.055,0.0532,0.006,0.114
por_batch,1200,1,1200,0.0369,0.0366,0.0033,0.091
por_batch,1400,1,1400,0.0124,0.0123,0.0022,0.179
por_batch,1600,1,1600,0.0046,0.0065,0.0014,0.211
por_batch,1800,1,1800,0.0193,0.0186,0.0046,0.245
por_batch,2000,1,2000,0.0047,0.0038,0.0041,1.073
por_batch,2200,1,2200,0.0004,0.0004,0.0006,1.589
por_batch,2400,1,2400,0.059,0.0594,0.0043,0.072
por_batch,2600,1,2600,0.0407,0.043,0.0082,0.19
por_batch,2800,1,2800,0.0566,0.0553,0.0042,0.076
por_batch,3000,1,3000,0.0612,0.0418,0.0027,0.065
por_batch,3200,1,3200,0.0658,0.0655,0.0079,0.121
por_batch,3400,1,3400,0.0,0.0,0.0,0.0
por_batch,3600,1,3600,0.0014,0.0017,0.0001,0.045
por_batch,3800,1,3800,0.0018,0.0017,0.0019,1.123
por_batch,4000,1,4000,0.0,0.0,0.0,0.0
por_batch,4200,1,4200,0.0,0.0,0.0,0.0
por_batch,4400,1,4400,0.0849,0.092,0.0039,0.042
por_batch,4600,1,4600,0.0043,0.0047,0.0023,0.487
por_batch,4800,1,4800,0.0,0.0,0.0,0.0
por_batch,5000,1,5000,0.0074,0.008,0.0035,0.432
por_batch,5200,1,5200,0.1316,0.1096,0.0049,0.044
por_batch,5400,1,5400,0.0,0.0,0.0,0.0
por_batch,5600,1,5600,0.0207,0.0216,0.0097,0.45
por_batch,5800,1,5800,0.0263,0.0296,0.0033,0.113
por_batch,6000,1,6000,0.0492,0.0526,0.0053,0.101
por_batch,6200,1,6200,0.0073,0.0072,0.0027,0.372
por_batch,6400,1,6400,0.0001,0.0001,0.0001,1.036
por_batch,6600,1,6600,0.0013,0.0013,0.0001,0.102
por_batch,6800,1,6800,0.0616,0.0552,0.006,0.108
por_batch,7000,1,7000,0.0598,0.0616,0.0045,0.073
por_batch,7200,1,7200,0.01,0.0125,0.0034,0.27
por_batch,7400,1,7400,0.0111,0.0118,0.0032,0.272
por_batch,7600,1,7600,0.007,0.0074,0.0016,0.212
por_batch,7800,1,7800,0.0631,0.0676,0.0047,0.07
por_batch,8000,1,8000,0.0001,0.0001,0.0,0.167
por_batch,8200,1,8200,0.0033,0.0033,0.0016,0.476
por_batch,8400,1,8400,0.062,0.0587,0.0049,0.083
por_batch,8600,1,8600,0.0487,0.0489,0.0044,0.089
por_batch,8800,1,8800,0.0822,0.0572,0.0031,0.054
por_batch,9000,1,9000,0.0119,0.0163,0.0018,0.11
por_batch,9200,1,9200,0.0406,0.0395,0.0037,0.093
por_batch,9400,1,9400,0.0,0.0,0.0,0.0
patch_fixo_epoca,,0,,0.0,0.0,0.3072,30719637.871
