protocol,roi,fit_type,shells_used,b_value,n_dirs,n_b0,sh_order,n_voxels,frac_0peaks,frac_1peak,frac_crossing,mean_n_peaks,energy_frac_high_order
SeqA1,whole_mask,single_shell,1000,1000.0,64,1,6,421714,0.0,0.2549808638081733,0.7450191361918267,2.2272653978762857,0.40765241079496717
SeqA4,whole_mask,single_shell,1000,1000.0,46,4,6,420695,1.9016151843972473e-05,0.23462603548889338,0.7653549483592627,2.282565754287548,0.4092628340638804
SeqA5,whole_mask,single_shell,1000,1000.0,64,5,6,437236,0.00012121600234198465,0.25697792496500743,0.7429008590326506,2.225617286774191,0.4094702073282031
SeqA6,whole_mask,single_shell,1000,1000.0,64,6,6,422682,0.00012065808338183314,0.24336262249161308,0.7565167194250051,2.275363038880293,0.3981229235791757
SeqB,whole_mask,single_shell,700,700.0,35,9,6,419413,4.291712464801997e-05,0.2267311695154895,0.7732259133598625,2.2664533526619346,0.4117463755375133
SeqB,whole_mask,single_shell,2000,2000.0,77,9,6,419413,3.814855524268442e-05,0.26489164618168726,0.7350702052630701,2.265597394453677,0.39114108738601266
SeqC,whole_mask,single_shell,500,500.0,16,8,6,419664,3.8125738686187046e-05,0.307810534141599,0.6921513401197148,1.9972954554119486,0.39165596612453624
SeqC,whole_mask,single_shell,1000,1000.0,32,8,6,419664,3.5742880018300355e-05,0.23498084181631018,0.7649834153036715,2.262028670555492,0.41359960913118
SeqC,whole_mask,single_shell,1500,1500.0,64,8,6,419664,3.5742880018300355e-05,0.24814851881505204,0.7518157383049296,2.284904113767204,0.40306806101663395
SeqD,whole_mask,single_shell,750,750.0,28,8,6,436961,0.00018765976826307153,0.26431649506477695,0.73549584516696,2.1538810099757186,0.4052415371342205
SeqD,whole_mask,single_shell,1500,1500.0,64,8,6,436961,0.00018765976826307153,0.25644622746652446,0.7433661127652125,2.265678172651564,0.4009330660876241
