protocol,roi,fit_type,shells_used,b_value,n_dirs,n_b0,sh_order,n_voxels,frac_0peaks,frac_1peak,frac_crossing,mean_n_peaks,energy_frac_high_order
SeqA1,whole_mask,single_shell,1000,1000.0,64,1,8,421714,0.0,0.23164040084037998,0.76835959915962,2.2717955770972744,0.5264120484659177
SeqA1,FX,single_shell,1000,1000.0,64,1,8,144,0.0,0.9652777777777778,0.034722222222222224,1.0486111111111112,0.4711983604705136
SeqA1,CGC,single_shell,1000,1000.0,64,1,8,1413,0.0,0.6574663835810333,0.34253361641896674,1.473460721868365,0.49775616377030674
SeqA1,CGH,single_shell,1000,1000.0,64,1,8,719,0.0,0.6481223922114048,0.3518776077885953,1.5048678720445063,0.49373387708403293
SeqA1,UF,single_shell,1000,1000.0,64,1,8,185,0.0,0.7567567567567568,0.24324324324324326,1.2918918918918918,0.45132238824132037
SeqA4,whole_mask,single_shell,1000,1000.0,46,4,8,420695,1.9016151843972473e-05,0.2113193643851246,0.7886616194630314,2.331149645229917,0.5232944634136769
SeqA4,FX,single_shell,1000,1000.0,46,4,8,131,0.0,0.9694656488549618,0.030534351145038167,1.0305343511450382,0.4662495730606231
SeqA4,CGC,single_shell,1000,1000.0,46,4,8,1475,0.0,0.6257627118644068,0.3742372881355932,1.5342372881355932,0.49606407228141103
SeqA4,CGH,single_shell,1000,1000.0,46,4,8,711,0.0,0.6554149085794655,0.34458509142053445,1.479606188466948,0.4875881040205774
SeqA4,UF,single_shell,1000,1000.0,46,4,8,172,0.0,0.7209302325581395,0.27906976744186046,1.319767441860465,0.43748646127809276
SeqA5,whole_mask,single_shell,1000,1000.0,64,5,8,437236,0.00012121600234198465,0.2336015332680749,0.7662772507295831,2.2705952849262183,0.5281422542524713
SeqA5,FX,single_shell,1000,1000.0,64,5,8,131,0.0,0.9618320610687023,0.03816793893129771,1.0610687022900764,0.47333445242400163
SeqA5,CGC,single_shell,1000,1000.0,64,5,8,1451,0.0,0.6443831840110269,0.3556168159889731,1.5044796691936595,0.5014343255489175
SeqA5,CGH,single_shell,1000,1000.0,64,5,8,729,0.0,0.6419753086419753,0.35802469135802467,1.5075445816186557,0.4949905581796413
SeqA5,UF,single_shell,1000,1000.0,64,5,8,173,0.0,0.7456647398843931,0.2543352601156069,1.2890173410404624,0.4531108522149931
SeqA6,whole_mask,single_shell,1000,1000.0,64,6,8,422682,0.00012065808338183314,0.219900539885777,0.7799788020308411,2.332592823919637,0.5097227469419151
SeqA6,FX,single_shell,1000,1000.0,64,6,8,136,0.0,0.9558823529411765,0.04411764705882353,1.0441176470588236,0.4786715363975209
SeqA6,CGC,single_shell,1000,1000.0,64,6,8,1475,0.0,0.6183050847457627,0.38169491525423727,1.5457627118644068,0.4929394740385567
SeqA6,CGH,single_shell,1000,1000.0,64,6,8,706,0.0,0.6940509915014165,0.3059490084985836,1.4390934844192635,0.47791389645125226
SeqA6,UF,single_shell,1000,1000.0,64,6,8,175,0.0,0.7657142857142857,0.2342857142857143,1.302857142857143,0.43567282677840924
SeqB,whole_mask,single_shell,700,700.0,35,9,6,419413,4.291712464801997e-05,0.2267311695154895,0.7732259133598625,2.2664533526619346,0.4117463755375133
SeqB,FX,single_shell,700,700.0,35,9,6,127,0.0,0.968503937007874,0.031496062992125984,1.031496062992126,0.32418001625350173
SeqB,CGC,single_shell,700,700.0,35,9,6,1442,0.0,0.6560332871012483,0.34396671289875175,1.4840499306518724,0.346997156228146
SeqB,CGH,single_shell,700,700.0,35,9,6,717,0.0,0.6457461645746164,0.3542538354253835,1.4895397489539748,0.34596152635229527
SeqB,UF,single_shell,700,700.0,35,9,6,167,0.0,0.718562874251497,0.281437125748503,1.347305389221557,0.3197827328670363
SeqB,whole_mask,single_shell,2000,2000.0,77,9,10,419413,4.291712464801997e-05,0.20702267216323766,0.7929344107121143,2.4356255051703215,0.5932309396114432
SeqB,FX,single_shell,2000,2000.0,77,9,10,127,0.0,0.9606299212598425,0.03937007874015748,1.062992125984252,0.6132528569711126
SeqB,CGC,single_shell,2000,2000.0,77,9,10,1442,0.0,0.673370319001387,0.32662968099861306,1.4972260748959778,0.6176606499624255
SeqB,CGH,single_shell,2000,2000.0,77,9,10,717,0.0,0.6596931659693166,0.3403068340306834,1.5550906555090656,0.6010534673495336
SeqB,UF,single_shell,2000,2000.0,77,9,10,167,0.0,0.7245508982035929,0.2754491017964072,1.4191616766467066,0.5748711472839548
SeqC,whole_mask,single_shell,500,500.0,16,8,4,419664,3.5742880018300355e-05,0.42888596591558964,0.5710782912043921,1.6986565442830455,0.20619639505376372
SeqC,FX,single_shell,500,500.0,16,8,4,142,0.0,0.9647887323943662,0.035211267605633804,1.0352112676056338,0.14495851938510892
SeqC,CGC,single_shell,500,500.0,16,8,4,1470,0.0,0.7435374149659864,0.2564625850340136,1.3149659863945578,0.157375034891927
SeqC,CGH,single_shell,500,500.0,16,8,4,708,0.0,0.7598870056497176,0.2401129943502825,1.2782485875706215,0.14815753426468872
SeqC,UF,single_shell,500,500.0,16,8,4,163,0.0,0.8588957055214724,0.1411042944785276,1.147239263803681,0.12841140770199536
