protocol,roi,fit_type,shells_used,b_value,n_dirs,n_b0,sh_order,n_voxels,frac_0peaks,frac_1peak,frac_crossing,mean_n_peaks,energy_frac_high_order
SeqA1,whole_mask,single_shell,1000,1000.0,64,1,6,421714,0.0,0.2549808638081733,0.7450191361918267,2.2272653978762857,0.40765241079496717
SeqA1,FX,single_shell,1000,1000.0,64,1,6,144,0.0,0.9722222222222222,0.027777777777777776,1.0347222222222223,0.3438128916058294
SeqA1,CGC,single_shell,1000,1000.0,64,1,6,1413,0.0,0.6857749469214437,0.31422505307855625,1.4409058740268932,0.36231149230805193
SeqA1,CGH,single_shell,1000,1000.0,64,1,6,719,0.0,0.6703755215577191,0.32962447844228093,1.4575799721835883,0.3633712721894277
SeqA1,UF,single_shell,1000,1000.0,64,1,6,185,0.0,0.7891891891891892,0.21081081081081082,1.2486486486486486,0.3189169403092448
SeqA4,whole_mask,single_shell,1000,1000.0,46,4,6,420695,1.9016151843972473e-05,0.23462603548889338,0.7653549483592627,2.282565754287548,0.4092628340638804
SeqA4,FX,single_shell,1000,1000.0,46,4,6,131,0.0,0.9847328244274809,0.015267175572519083,1.015267175572519,0.3405065877134762
SeqA4,CGC,single_shell,1000,1000.0,46,4,6,1475,0.0,0.6474576271186441,0.3525423728813559,1.4996610169491524,0.36701418484739734
SeqA4,CGH,single_shell,1000,1000.0,46,4,6,711,0.0,0.6863572433192686,0.3136427566807314,1.4331926863572433,0.3606376708310608
SeqA4,UF,single_shell,1000,1000.0,46,4,6,172,0.0,0.7965116279069767,0.20348837209302326,1.2383720930232558,0.3095717070427459
SeqA5,whole_mask,single_shell,1000,1000.0,64,5,6,437236,0.00012121600234198465,0.25697792496500743,0.7429008590326506,2.225617286774191,0.4094702073282031
SeqA5,FX,single_shell,1000,1000.0,64,5,6,131,0.0,0.9618320610687023,0.03816793893129771,1.0534351145038168,0.3462756968637314
SeqA5,CGC,single_shell,1000,1000.0,64,5,6,1451,0.0,0.6581667815299793,0.3418332184700207,1.485182632667126,0.3685556299773302
SeqA5,CGH,single_shell,1000,1000.0,64,5,6,729,0.0,0.6680384087791496,0.3319615912208505,1.4732510288065843,0.36562457338733934
SeqA5,UF,single_shell,1000,1000.0,64,5,6,173,0.0,0.8034682080924855,0.19653179190751446,1.2196531791907514,0.31999669602760467
SeqA6,whole_mask,single_shell,1000,1000.0,64,6,6,422682,0.00012065808338183314,0.24336262249161308,0.7565167194250051,2.275363038880293,0.3981229235791757
SeqA6,FX,single_shell,1000,1000.0,64,6,6,136,0.0,0.9632352941176471,0.03676470588235294,1.036764705882353,0.35565616233041664
SeqA6,CGC,single_shell,1000,1000.0,64,6,6,1475,0.0,0.6569491525423728,0.3430508474576271,1.4894915254237289,0.3681322846782995
SeqA6,CGH,single_shell,1000,1000.0,64,6,6,706,0.0,0.7195467422096318,0.2804532577903683,1.3951841359773371,0.3574481890049793
SeqA6,UF,single_shell,1000,1000.0,64,6,6,175,0.0,0.8,0.2,1.2514285714285713,0.3118577218793518
SeqB,whole_mask,single_shell,700,700.0,35,9,6,419413,4.291712464801997e-05,0.2267311695154895,0.7732259133598625,2.2664533526619346,0.4117463755375133
SeqB,FX,single_shell,700,700.0,35,9,6,127,0.0,0.968503937007874,0.031496062992125984,1.031496062992126,0.32418001625350173
SeqB,CGC,single_shell,700,700.0,35,9,6,1442,0.0,0.6560332871012483,0.34396671289875175,1.4840499306518724,0.346997156228146
SeqB,CGH,single_shell,700,700.0,35,9,6,717,0.0,0.6457461645746164,0.3542538354253835,1.4895397489539748,0.34596152635229527
SeqB,UF,single_shell,700,700.0,35,9,6,167,0.0,0.718562874251497,0.281437125748503,1.347305389221557,0.3197827328670363
SeqB,whole_mask,single_shell,2000,2000.0,77,9,6,419413,3.814855524268442e-05,0.26489164618168726,0.7350702052630701,2.265597394453677,0.39114108738601266
SeqB,FX,single_shell,2000,2000.0,77,9,6,127,0.0,0.9606299212598425,0.03937007874015748,1.0551181102362204,0.4611352983245805
SeqB,CGC,single_shell,2000,2000.0,77,9,6,1442,0.0,0.7004160887656034,0.29958391123439665,1.4160887656033287,0.4406892575417238
SeqB,CGH,single_shell,2000,2000.0,77,9,6,717,0.0,0.7517433751743375,0.2482566248256625,1.3723849372384938,0.41874800901698606
SeqB,UF,single_shell,2000,2000.0,77,9,6,167,0.0,0.8023952095808383,0.19760479041916168,1.2455089820359282,0.3893556599359036
SeqC,whole_mask,single_shell,500,500.0,16,8,6,419664,3.8125738686187046e-05,0.307810534141599,0.6921513401197148,1.9972954554119486,0.39165596612453624
SeqC,FX,single_shell,500,500.0,16,8,6,142,0.0,0.9295774647887324,0.07042253521126761,1.0704225352112675,0.3049404167209451
SeqC,CGC,single_shell,500,500.0,16,8,6,1470,0.0,0.6557823129251701,0.3442176870748299,1.465986394557823,0.33575185063334073
SeqC,CGH,single_shell,500,500.0,16,8,6,708,0.0,0.635593220338983,0.3644067796610169,1.4548022598870056,0.32714747947667167
SeqC,UF,single_shell,500,500.0,16,8,6,163,0.0,0.7484662576687117,0.25153374233128833,1.2822085889570551,0.29991122345323035
SeqC,whole_mask,single_shell,1000,1000.0,32,8,6,419664,3.5742880018300355e-05,0.23498084181631018,0.7649834153036715,2.262028670555492,0.41359960913118
SeqC,FX,single_shell,1000,1000.0,32,8,6,142,0.0,0.9577464788732394,0.04225352112676056,1.0422535211267605,0.3360734494463592
